Cell Length 	 Number Foci 	 Abs tot Foci_A in Membr_A 	 Abs tot Foci_A in Cyto_A 	 Rel Foci_A in Membr_A 	 Rel Foci_A in Cyto_A 	 Avg Foci eccentricity 	 Avg Foci Area 	 Avg Foci distance 	 Area Membr 	 Area Cyto 	 Area Cell 	 Avg Int Membr 	 Avg Int Cyto 	 Avg Int Cell 	
59.780000	1.000000	0.000000	1.000000	0.000000	0.003322	0.866025	2.000000	5.358858	406.000000	196.000000	602.000000	213.532020	364.377551	262.644518	
52.389343	2.000000	0.000000	1.000000	0.000000	0.065041	0.849045	18.500000	2.296097	365.000000	250.000000	615.000000	185.797260	409.336000	276.666667	
33.719587	2.000000	0.137931	0.862069	0.012346	0.077160	0.455576	14.000000	0.407381	246.000000	78.000000	324.000000	254.601626	434.384615	297.882716	
41.313680	4.000000	0.000000	1.000000	0.000000	0.060606	0.808637	6.750000	5.028795	287.000000	175.000000	462.000000	192.808362	410.091429	275.112554	
48.568686	4.000000	0.020833	0.979167	0.001848	0.086876	0.884273	11.500000	0.000000	359.000000	182.000000	541.000000	198.718663	414.142857	271.190388	
55.730185	3.000000	0.000000	1.000000	0.000000	0.022876	0.764642	4.000000	4.085322	392.000000	220.000000	612.000000	183.836735	364.154545	248.656863	
40.142162	1.000000	0.000000	1.000000	0.000000	0.009324	0.730297	3.000000	10.248586	304.000000	125.000000	429.000000	203.736842	376.256000	254.004662	
50.881424	1.000000	0.000000	1.000000	0.000000	0.058923	0.984204	34.000000	9.751027	379.000000	215.000000	594.000000	192.015831	394.167442	265.185185	
57.569681	4.000000	0.126214	0.873786	0.020900	0.144695	0.869456	25.500000	11.935691	416.000000	206.000000	622.000000	222.798077	449.990291	298.041801	
38.283514	2.000000	0.000000	1.000000	0.000000	0.025641	0.820007	5.000000	10.885035	289.000000	140.000000	429.000000	198.913495	393.585714	262.442890	
50.244712	2.000000	0.000000	1.000000	0.000000	0.074450	0.827642	21.500000	0.000000	374.000000	217.000000	591.000000	193.657754	408.304147	272.470389	
42.823229	1.000000	0.000000	1.000000	0.000000	0.012245	0.000000	4.000000	0.000000	316.000000	174.000000	490.000000	180.310127	367.735632	246.865306	
50.463609	3.000000	0.049180	0.950820	0.005474	0.105839	0.905621	20.333333	0.000000	360.000000	188.000000	548.000000	211.250000	413.308511	280.569343	
44.138927	6.000000	0.076923	0.923077	0.006522	0.078261	0.795446	6.166667	3.698729	289.000000	171.000000	460.000000	239.363322	415.543860	304.856522	
34.645744	1.000000	0.041237	0.958763	0.011268	0.261972	0.979399	97.000000	0.000000	239.000000	116.000000	355.000000	216.351464	514.965517	313.926761	
31.582099	1.000000	0.094595	0.905405	0.022436	0.214744	0.975855	74.000000	0.000000	226.000000	86.000000	312.000000	213.699115	503.255814	293.512821	
49.893342	1.000000	0.000000	1.000000	0.000000	0.037801	0.811548	21.000000	0.000000	358.000000	224.000000	582.000000	186.888268	372.482143	258.319588	
55.734468	6.000000	0.056338	0.943662	0.006250	0.104688	0.860042	11.833333	4.514703	391.000000	249.000000	640.000000	208.071611	424.048193	292.100000	
45.721819	3.000000	0.272727	0.727273	0.013304	0.035477	0.764699	7.000000	3.343586	306.000000	145.000000	451.000000	249.483660	397.379310	297.033259	
49.734880	2.000000	0.000000	1.000000	0.000000	0.011009	0.904417	2.500000	0.000000	336.000000	209.000000	545.000000	172.827381	361.521531	245.188991	
43.353870	1.000000	0.021277	0.978723	0.004008	0.184369	0.984248	94.000000	0.000000	307.000000	192.000000	499.000000	209.524430	444.708333	300.016032	
50.479377	1.000000	NaN	NaN	0.000000	0.000000	0.984248	94.000000	0.000000	350.000000	163.000000	513.000000	185.737143	318.552147	227.937622	
48.526508	1.000000	0.000000	1.000000	0.000000	0.001996	0.984248	94.000000	0.000000	325.000000	176.000000	501.000000	199.846154	345.795455	251.117764	
36.804081	1.000000	NaN	NaN	0.000000	0.000000	0.984248	94.000000	0.000000	267.000000	102.000000	369.000000	203.048689	317.411765	234.661247	
43.803807	1.000000	NaN	NaN	0.000000	0.000000	0.984248	94.000000	0.000000	310.000000	171.000000	481.000000	175.129032	304.374269	221.076923	
44.044101	1.000000	NaN	NaN	0.000000	0.000000	0.984248	94.000000	0.000000	311.000000	187.000000	498.000000	183.787781	339.497326	242.257028	
50.911536	4.000000	0.000000	1.000000	0.000000	0.099327	0.917489	14.500000	10.998350	376.000000	218.000000	594.000000	200.276596	422.807339	281.946128	
43.559371	1.000000	0.074627	0.925373	0.021053	0.261053	0.981650	134.000000	0.319796	320.000000	155.000000	475.000000	247.443750	484.503226	324.800000	
45.959163	2.000000	0.025641	0.974359	0.003899	0.148148	0.908284	39.000000	1.553570	319.000000	194.000000	513.000000	215.203762	424.412371	294.319688	
50.537682	4.000000	0.029703	0.970297	0.005172	0.168966	0.872357	25.000000	1.945298	359.000000	221.000000	580.000000	215.431755	447.221719	303.751724	
41.919140	4.000000	0.000000	1.000000	0.000000	0.066667	0.762389	7.750000	8.952183	320.000000	160.000000	480.000000	209.006250	419.062500	279.025000	
39.163916	1.000000	0.106061	0.893939	0.017456	0.147132	0.958307	66.000000	0.000000	289.000000	112.000000	401.000000	222.899654	446.857143	285.451372	
48.455415	1.000000	NaN	NaN	0.000000	0.000000	0.958307	66.000000	0.000000	346.000000	187.000000	533.000000	177.641618	329.165775	230.803002	
44.913689	3.000000	0.118280	0.881720	0.023707	0.176724	0.901998	31.000000	7.043174	312.000000	152.000000	464.000000	248.346154	460.236842	317.758621	
56.214331	2.000000	0.055556	0.944444	0.003317	0.056385	0.881252	18.000000	0.000000	401.000000	202.000000	603.000000	188.663342	342.287129	240.126036	
39.656856	1.000000	NaN	NaN	0.000000	0.000000	0.881252	18.000000	0.000000	274.000000	175.000000	449.000000	175.759124	309.622857	227.933185	
39.221643	4.000000	0.100000	0.900000	0.006897	0.062069	0.794541	7.250000	0.000000	283.000000	152.000000	435.000000	224.989399	410.342105	289.756322	
31.148348	3.000000	0.029412	0.970588	0.003067	0.101227	0.872270	11.333333	2.190083	219.000000	107.000000	326.000000	220.173516	417.308411	284.877301	
54.340379	3.000000	0.000000	1.000000	0.000000	0.019064	0.775540	2.666667	0.000000	394.000000	183.000000	577.000000	202.152284	388.000000	261.095321	
57.091519	1.000000	0.200000	0.800000	0.003231	0.012924	0.771560	10.000000	12.478187	413.000000	206.000000	619.000000	201.016949	362.805825	254.859451	
47.722124	2.000000	0.000000	1.000000	0.000000	0.033399	0.838742	8.000000	3.420503	330.000000	179.000000	509.000000	210.812121	398.502793	276.817289	
45.345136	1.000000	NaN	NaN	0.000000	0.000000	0.838742	8.000000	3.420503	350.000000	139.000000	489.000000	191.880000	328.287770	230.654397	
46.339267	2.000000	0.128571	0.871429	0.034884	0.236434	0.898418	69.500000	7.844404	334.000000	182.000000	516.000000	249.670659	491.461538	334.953488	
44.355860	1.000000	0.043716	0.956284	0.015152	0.331439	0.978204	183.000000	0.000000	310.000000	218.000000	528.000000	235.374194	510.357798	348.909091	
52.720681	1.000000	0.083333	0.916667	0.027073	0.297800	0.978511	192.000000	0.000000	366.000000	225.000000	591.000000	231.874317	498.097778	333.228426	
54.282426	1.000000	0.265700	0.734300	0.093220	0.257627	0.974850	207.000000	3.493497	396.000000	194.000000	590.000000	264.388889	520.567010	348.623729	
42.788500	1.000000	0.115108	0.884892	0.031809	0.244533	0.981869	139.000000	0.000000	327.000000	176.000000	503.000000	229.186544	478.170455	316.306163	
37.688880	1.000000	0.200000	0.800000	0.070707	0.282828	0.969411	140.000000	0.000000	276.000000	120.000000	396.000000	265.630435	544.200000	350.045455	
36.421156	1.000000	0.179688	0.820312	0.058524	0.267176	0.965583	128.000000	0.000000	272.000000	121.000000	393.000000	251.205882	521.190083	334.330789	
50.121966	3.000000	0.106667	0.893333	0.026846	0.224832	0.895225	50.000000	7.963973	362.000000	234.000000	596.000000	223.795580	455.470085	314.755034	
61.148461	4.000000	0.052632	0.947368	0.001475	0.026549	0.663434	4.500000	1.767064	442.000000	236.000000	678.000000	209.199095	391.762712	272.746313	
