Cell Length 	 Number Foci 	 Abs tot Foci_A in Membr_A 	 Abs tot Foci_A in Cyto_A 	 Rel Foci_A in Membr_A 	 Rel Foci_A in Cyto_A 	 Avg Foci eccentricity 	 Avg Foci Area 	 Avg Foci distance 	 Area Membr 	 Area Cyto 	 Area Cell 	 Avg Int Membr 	 Avg Int Cyto 	 Avg Int Cell 	
33.306350	1.000000	0.674286	0.325714	0.674286	0.325714	0.921668	350.000000	0.000000	236.000000	114.000000	350.000000	3398.135593	2288.473684	3036.702857	
35.569633	1.000000	0.706522	0.293478	0.706522	0.293478	0.935443	368.000000	0.000000	260.000000	108.000000	368.000000	2646.738462	1417.722222	2286.048913	
56.405956	1.000000	0.717277	0.282723	0.707401	0.278830	0.966688	573.000000	0.156572	412.000000	169.000000	581.000000	1787.218447	852.994083	1515.473322	
45.489473	1.000000	0.665208	0.334792	0.665208	0.334792	0.958567	457.000000	0.000000	304.000000	153.000000	457.000000	2135.947368	1223.542484	1830.481400	
51.356338	1.000000	0.655797	0.344203	0.655797	0.344203	0.959345	552.000000	0.000000	362.000000	190.000000	552.000000	2450.348066	1512.715789	2127.612319	
34.666743	1.000000	0.679452	0.320548	0.679452	0.320548	0.919529	365.000000	0.000000	248.000000	117.000000	365.000000	1659.338710	1111.025641	1483.578082	
31.650394	1.000000	0.707831	0.292169	0.707831	0.292169	0.910777	332.000000	0.000000	235.000000	97.000000	332.000000	6879.157447	3813.567010	5983.487952	
32.584298	1.000000	0.704819	0.295181	0.704819	0.295181	0.913534	332.000000	0.000000	234.000000	98.000000	332.000000	3301.521368	2449.326531	3049.969880	
38.214951	1.000000	0.643032	0.356968	0.643032	0.356968	0.941252	409.000000	0.000000	263.000000	146.000000	409.000000	2967.551331	1846.424658	2567.344743	
37.386807	1.000000	0.709424	0.290576	0.709424	0.290576	0.937338	382.000000	0.000000	271.000000	111.000000	382.000000	1517.409594	934.000000	1347.884817	
33.411554	1.000000	0.719136	0.280864	0.716923	0.280000	0.910779	324.000000	0.045662	234.000000	91.000000	325.000000	4684.401709	3360.043956	4313.581538	
